date,time,PPFD_toa
2022/10/3,13:13:00,1671.0301432110448
2022/10/3,13:14:00,1667.3653193468028
2022/10/3,13:15:00,1663.6670583943012
2022/10/3,13:16:00,1659.935430763098
2022/10/3,13:17:00,1656.170507498005
2022/10/3,13:18:00,1652.3723602777327
2022/10/3,13:19:00,1648.5410614135305
2022/10/3,13:20:00,1644.676683847805
2022/10/3,13:21:00,1640.7793011527358
2022/10/3,13:22:00,1636.8489875288706
2022/10/3,13:23:00,1632.8858178037158
2022/10/3,13:24:00,1628.8898674303098
2022/10/3,13:25:00,1624.8612124857882
2022/10/3,13:26:00,1620.7999296699334
2022/10/3,13:27:00,1616.7060963037165
2022/10/3,13:28:00,1612.5797903278233
2022/10/3,13:29:00,1608.4210903011722
2022/10/3,13:30:00,1604.230075399416
2022/10/3,13:31:00,1600.0068254134376
2022/10/3,13:32:00,1595.7514207478303
2022/10/3,13:33:00,1591.4639424193629
2022/10/3,13:34:00,1587.1444720554446
2022/10/3,13:35:00,1582.7930918925626
2022/10/3,13:36:00,1578.4098847747248
2022/10/3,13:37:00,1573.994934151875
2022/10/3,13:38:00,1569.5483240783096
2022/10/3,13:39:00,1565.0701392110748
2022/10/3,13:40:00,1560.5604648083556
2022/10/3,13:41:00,1556.0193867278513
2022/10/3,13:42:00,1551.4469914251436
2022/10/3,13:43:00,1546.8433659520472
2022/10/3,13:44:00,1542.2085979549558
2022/10/3,13:45:00,1537.5427756731706
2022/10/3,13:46:00,1532.8459879372226
2022/10/3,13:47:00,1528.1183241671804
2022/10/3,13:48:00,1523.3598743709465
2022/10/3,13:49:00,1518.5707291425467
2022/10/3,13:50:00,1513.7509796604024
2022/10/3,13:51:00,1508.9007176855964
2022/10/3,13:52:00,1504.0200355601246
2022/10/3,13:53:00,1499.10902620514
2022/10/3,13:54:00,1494.1677831191812
2022/10/3,13:55:00,1489.1964003763946
2022/10/3,13:56:00,1484.1949726247403
2022/10/3,13:57:00,1479.1635950841946
2022/10/3,13:58:00,1474.1023635449321
2022/10/3,13:59:00,1469.0113743655072
2022/10/3,14:00:00,1463.8907244710138
2022/10/3,14:01:00,1458.7405113512448
2022/10/3,14:02:00,1453.560833058836
2022/10/3,14:03:00,1448.351788207393
2022/10/3,14:04:00,1443.1134759696236
2022/10/3,14:05:00,1437.84599607544
2022/10/3,14:06:00,1432.5494488100678
2022/10/3,14:07:00,1427.2239350121315
2022/10/3,14:08:00,1421.8695560717374
2022/10/3,14:09:00,1416.4864139285423
2022/10/3,14:10:00,1411.074611069813
2022/10/3,14:11:00,1405.6342505284747
2022/10/3,14:12:00,1400.165435881151
2022/10/3,14:13:00,1394.6682712461884
2022/10/3,14:14:00,1389.1428612816783
2022/10/3,14:15:00,1383.5893111834612
2022/10/3,14:16:00,1378.0077266831258
2022/10/3,14:17:00,1372.3982140459962
2022/10/3,14:18:00,1366.7608800691057
2022/10/3,14:19:00,1361.095832079169
2022/10/3,14:20:00,1355.4031779305315
2022/10/3,14:21:00,1349.6830260031243
2022/10/3,14:22:00,1343.935485200394
2022/10/3,14:23:00,1338.1606649472324
2022/10/3,14:24:00,1332.358675187893
2022/10/3,14:25:00,1326.5296263838975
2022/10/3,14:26:00,1320.6736295119324
2022/10/3,14:27:00,1314.790796061738
2022/10/3,14:28:00,1308.8812380339816
2022/10/3,14:29:00,1302.9450679381316
2022/10/3,14:30:00,1296.9823987903078
2022/10/3,14:31:00,1290.9933441111368
2022/10/3,14:32:00,1284.978017923587
2022/10/3,14:33:00,1278.9365347507971
2022/10/3,14:34:00,1272.8690096138992
2022/10/3,14:35:00,1266.7755580298249
2022/10/3,14:36:00,1260.6562960091096
2022/10/3,14:37:00,1254.5113400536807
2022/10/3,14:38:00,1248.3408071546426
2022/10/3,14:39:00,1242.1448147900455
2022/10/3,14:40:00,1235.923480922655
2022/10/3,14:41:00,1229.6769239976977
2022/10/3,14:42:00,1223.4052629406156
2022/10/3,14:43:00,1217.1086171547927
2022/10/3,14:44:00,1210.78710651929
2022/10/3,14:45:00,1204.4408513865562
2022/10/3,14:46:00,1198.0699725801417
2022/10/3,14:47:00,1191.6745913923967
2022/10/3,14:48:00,1185.2548295821587
2022/10/3,14:49:00,1178.8108093724402
2022/10/3,14:50:00,1172.342653448095
2022/10/3,14:51:00,1165.8504849534904
2022/10/3,14:52:00,1159.334427490155
2022/10/3,14:53:00,1152.794605114431
2022/10/3,14:54:00,1146.2311423351082
2022/10/3,14:55:00,1139.6441641110587
